id,codi_estacio,codi_variable,data_lectura,data_extrem,valor_lectura,codi_estat,codi_base
V4320101150330,V4,32,2015-01-01T03:30:00.000,,-3.7,V,SH
V4350101150330,V4,35,2015-01-01T03:30:00.000,,0.0,V,SH
V4400101150330,V4,40,2015-01-01T03:30:00.000,2015-01-01T03:30:00.000,-3.6,V,SH
V4720101150330,V4,72,2015-01-01T03:30:00.000,2015-01-01T03:30:00.000,0.0,V,SH
V4030101150330,V4,3,2015-01-01T03:30:00.000,2015-01-01T03:59:00.000,84.0,V,SH
V4400101150400,V4,40,2015-01-01T04:00:00.000,2015-01-01T04:09:00.000,-3.6,V,SH
V4420101150400,V4,42,2015-01-01T04:00:00.000,2015-01-01T04:20:00.000,-3.8,V,SH
V4330101150400,V4,33,2015-01-01T04:00:00.000,,84.0,V,SH
V4030101150400,V4,3,2015-01-01T04:00:00.000,2015-01-01T04:07:00.000,84.0,V,SH
V4720101150400,V4,72,2015-01-01T04:00:00.000,2015-01-01T04:00:00.000,0.0,V,SH
V4320101150400,V4,32,2015-01-01T04:00:00.000,,-3.7,V,SH
V4440101150400,V4,44,2015-01-01T04:00:00.000,2015-01-01T04:18:00.000,83.0,V,SH
V4350101150400,V4,35,2015-01-01T04:00:00.000,,0.0,V,SH
V4320101150430,V4,32,2015-01-01T04:30:00.000,,-3.7,V,SH
V4400101150430,V4,40,2015-01-01T04:30:00.000,2015-01-01T04:37:00.000,-3.6,V,SH
V4420101150430,V4,42,2015-01-01T04:30:00.000,2015-01-01T04:55:00.000,-3.8,V,SH
V4720101150430,V4,72,2015-01-01T04:30:00.000,2015-01-01T04:30:00.000,0.0,V,SH
V4440101150430,V4,44,2015-01-01T04:30:00.000,2015-01-01T04:47:00.000,82.0,V,SH
V4030101150430,V4,3,2015-01-01T04:30:00.000,2015-01-01T04:30:00.000,83.0,V,SH
V4350101150430,V4,35,2015-01-01T04:30:00.000,,0.0,V,SH
V4330101150430,V4,33,2015-01-01T04:30:00.000,,83.0,V,SH
V4720101150500,V4,72,2015-01-01T05:00:00.000,2015-01-01T05:00:00.000,0.0,V,SH
V4320101150500,V4,32,2015-01-01T05:00:00.000,,-3.5,V,SH
V4400101150500,V4,40,2015-01-01T05:00:00.000,2015-01-01T05:04:00.000,-3.5,V,SH
V4350101150500,V4,35,2015-01-01T05:00:00.000,,0.0,V,SH
V4030101150500,V4,3,2015-01-01T05:00:00.000,2015-01-01T05:01:00.000,83.0,V,SH
V4420101150500,V4,42,2015-01-01T05:00:00.000,2015-01-01T05:29:00.000,-3.6,V,SH
V4330101150500,V4,33,2015-01-01T05:00:00.000,,83.0,V,SH
V4440101150500,V4,44,2015-01-01T05:00:00.000,2015-01-01T05:06:00.000,83.0,V,SH
V4320101150530,V4,32,2015-01-01T05:30:00.000,,-3.8,V,SH
V4400101150530,V4,40,2015-01-01T05:30:00.000,2015-01-01T05:30:00.000,-3.6,V,SH
V4420101150530,V4,42,2015-01-01T05:30:00.000,2015-01-01T05:59:00.000,-4.0,V,SH
V4720101150530,V4,72,2015-01-01T05:30:00.000,2015-01-01T05:30:00.000,0.0,V,SH
V4440101150530,V4,44,2015-01-01T05:30:00.000,2015-01-01T05:30:00.000,83.0,V,SH
V4030101150530,V4,3,2015-01-01T05:30:00.000,2015-01-01T05:56:00.000,84.0,V,SH
V4350101150530,V4,35,2015-01-01T05:30:00.000,,0.0,V,SH
V4330101150530,V4,33,2015-01-01T05:30:00.000,,84.0,V,SH
V4320101150600,V4,32,2015-01-01T06:00:00.000,,-4.1,V,SH
V4400101150600,V4,40,2015-01-01T06:00:00.000,2015-01-01T06:05:00.000,-4.0,V,SH
